const powersVonnom = new Map([
	["WeaponName", "The Amulet of the Inquisitive"],
	["baseText", "The amulet seems the be designed entirely for the analytical, the scrutinizing and the searching."],
	["abilityText", ""],
	["ap0Name", "Sculpt Spells"],
	["ap11Name", "Improved Sculpt Spells"],
	["ap12Name", "Enhanced Sculpt Spells"],
	["ap13Name", "Supreme Sculpt Spells"],
	["ap0", "When casting an evocation spell the wielder may choose to spend a charge to create create pockets of relative safety within the effects of your evocation spells. When you cast an evocation spell that affects other creatures that you can see, you can choose up to two creatures. The chosen creatures automatically succeed on their saving throws against the spell, and they take no damage if they would normally take half damage on a successful save."],
	["ap11", "When casting an evocation spell the wielder may choose to spend a charge to create create pockets of relative safety within the effects of your evocation spells. When you cast an evocation spell that affects other creatures that you can see, you can choose a number of them up to or equal to your proficiency. The chosen creatures automatically succeed on their saving throws against the spell, and they take no damage if they would normally take half damage on a successful save."],
	["ap12", "When casting an evocation spell the wielder may choose to spend a charge to create create pockets of relative safety within the effects of your evocation spells. When you cast an evocation spell that affects other creatures that you can see, you can choose a number of them equal to up to or equal your proficiency. The chosen creatures automatically succeed on their saving throws against the spell, and they take no damage if they would normally take half damage on a successful save. In addition you may choose to give a single creature disadvantage on this save."],
	["ap13", "When casting an evocation spell the wielder may choose to spend a charge to create create pockets of relative safety within the effects of your evocation spells. When you cast an evocation spell that affects other creatures that you can see, you can choose a number of them equal to up to or equal your proficiency. The chosen creatures automatically succeed on their saving throws against the spell, and they take no damage if they would normally take half damage on a successful save. In addition you may choose to give up to your proficiency creatures disadvantage on this save. You may choose to spend more charges and increase the number for both parts of the ability with an addition proficiency number of creatures per charge."],
	["ap21Name", "Spell Storing"],
	["ap22Name", "Enhanced Spell Storing"],
	["ap23Name", "Superior Spell Storing"],
	["ap21", "This amulet stores spells cast into it, holding them until the attuned wearer uses them. A creature can cast a spell into it as the attuned wearer chooses to store them by choosing to spend spend charges equal to the level of the cast spell+1. It cannot contain more levels of spells than the charges can afford per day and the maximum level of a single spell stored is 6. While wearing this amulet, you can cast any spell stored in it. The spell uses the slot level, spell save DC, spell attack bonus, and spellcasting ability of the original caster, but is otherwise treated as if you cast the spell. The spell cast from the amulet is no longer stored in it, freeing up space."],
	["ap22", "This amulet stores spells cast into it, holding them until the attuned wearer uses them. A creature can cast a spell into it as the attuned wearer chooses to store them by choosing to spend spend charges equal to the level of the cast spell. It cannot contain more levels of spells than the charges can afford per day and the maximum level of a single spell stored is 7. While wearing this amulet, you can cast any spell stored in it. The spell uses the slot level, spell save DC, spell attack bonus, and spellcasting ability of the original caster, but is otherwise treated as if you cast the spell. The spell cast from the amulet is no longer stored in it, freeing up space."],
	["ap23", "This amulet stores spells cast into it, holding them until the attuned wearer uses them. A creature can cast a spell into it as the attuned wearer chooses to store them by choosing to spend spend charges equal to the level of the cast spell+1. It cannot contain more levels of spells than the charges can afford per day and the maximum level of a single spell stored is 7. While wearing this amulet, you can cast any spell stored in it. The spell uses the slot level, spell save DC, spell attack bonus, and spellcasting ability of the original caster, but is otherwise treated as if you cast the spell. The spell cast from the amulet is no longer stored in it, freeing up space. When casting a spell from the amulet that is a area of effect damage spell, the wearer may use the current level of Sculpt spells without using a charge and if the spell that targets only a single creatures that does not have the range of self, the wearer may pay another charge to target a second creature in range with the same spell."],
	["ap31Name", "Word of Bond"],
	["ap32Name", "Enhanced Word of Bond"],
	["ap33Name", "Boundless Word of Bond"],
	["ap31", "The attuned wearer may use an action to spend a charge to refill any of the abilities granted by Manifest Mind, with the action they may spend more than one charges to recharge several abilities or one several times."],
	["ap32", "The attuned wearer may use an action to spend a charge to refill any of the abilities granted by Manifest Mind, with the action they may spend more than one charges to recharge several abilities or one several times. Should the Manifest Mind somehow be destroyed or dispelled, the wearer may use their reaction and spend two charges to recover the Mind in its previous place."],
	["ap33", "The attuned wearer may use an action or a bonus action to spend a charge to refill any of the abilities granted by Manifest Mind, with the action they may spend more than one charges to recharge several abilities or one several times. Should the Manifest Mind somehow be destroyed or dispelled, the wearer may use their reaction and spend two charges to recover the Mind in its previous place or any place within 300 feet of the wearer. In addition, any time a charge is spend on Word of Bond, the wearer may choose to either move the Mind an additional 30 feet, increase the range of its bright and dim light by an additional 10 feet each, or make it invisible for the turn."],
	["pp0Name", ""],
	["pp1Name", "Inspired Intellect"],
	["pp2Name", "Enhanced Inspired Intellect"],
	["pp3Name", "Impressive Inspired Intellect"],
	["pp0", ""],
	["pp1", "The attuned wearer can prepare an additional 3 spells from their spelllist."],
	["pp2", "The attuned wearer can prepare an additional 6 spells from their spelllist."],
	["pp3", "The attuned wearer can prepare an additional 9 spells from their spelllist."],
	["ch0Name", "Charges"],
	["ch1Name", "Improved Charges"],
	["ch2Name", "Enhanced Charges"],
	["ch3Name", "Ultimate Charges"],
	["ch0", "The amulet contains three charge and it recovers 1 charge with a long rest."],
	["ch1", "The amulet contains five charge and it recovers 1d4+1 charges with a long rest."],
	["ch2", "The amulet contains seven charge and it recovers 1d6+1 charges with a long rest."],
	["ch3", "The amulet contains nine charge and it recovers 1d8+1 charges with a long rest."],
	["b0Name", "Bonus"],
	["b1Name", "Enhanced Bonus"],
	["b2Name", "Ultimate Bonus"],
	["b0", "When attuned and worn, this amulet gives +1d4 to all intelligence ability checks and you get a +1 bonus to your spell attacks and saving throws."],
	["b1", "When attuned and worn, this amulet gives +1d4 to all intelligence ability checks and you get a +2 bonus to your spell attacks and saving throws. In addition, whenever the wearer is trying to create something that uses intelligence, such as Alchemy, Scrolls or the like, the time and physical resources required is decreased by 15%, rounded down."],
	["b2", "When attuned and worn, this amulet gives +1d4 to all intelligence ability checks and you get a +3 bonus to your spell attacks and saving throws. In addition, whenever the wearer is trying to create something that uses intelligence, such as Alchemy, Scrolls or the like, the time and physical resources required is decreased by 15%, rounded down. When the wearer is casting a cantrip that deals damage, the wearer may reroll any ones, but must use the following roll."],
]);
